start_station_code,end_station_code,flow
5002,5002,53
5002,5003,15
5002,5004,41
5002,5005,36
5002,5006,34
5002,5007,122
5002,6003,1
5002,6009,1
5002,6012,1
5002,6014,2
5002,6015,11
5002,6026,2
5002,6039,2
5002,6046,4
5002,6104,7
5002,6105,1
5002,6108,1
5002,6109,1
5002,6112,1
5002,6114,2
5002,6116,1
5002,6118,3
5002,6119,1
5002,6120,2
5002,6123,5
5002,6129,1
5002,6132,3
5002,6154,1
5002,6171,1
5002,6213,1
5002,6216,2
5002,6230,1
5002,6393,1
5002,6428,1
5002,6501,10
5002,6502,2
5002,6729,1
5002,6738,1
5002,6901,4
5002,7030,1
5002,7073,4
5003,5002,9
5003,5003,19
5003,5004,31
5003,5005,23
5003,5006,39
5003,5007,91
5003,6011,1
5003,6012,2
5003,6014,2
5003,6015,2
5003,6023,1
5003,6024,1
5003,6034,21
5003,6052,1
5003,6063,2
5003,6104,1
5003,6110,1
5003,6112,2
5003,6113,3
5003,6114,15
5003,6116,2
5003,6118,2
5003,6119,2
5003,6123,4
5003,6124,2
5003,6126,3
5003,6132,5
5003,6136,1
5003,6139,1
5003,6145,1
5003,6148,2
5003,6171,1
5003,6180,1
5003,6209,1
5003,6259,1
5003,6349,1
5003,6359,4
5003,6370,1
5003,6394,1
5003,6501,6
5003,6504,1
5003,6729,2
5003,6732,1
5003,6901,2
5003,6902,1
5003,7046,1
5003,7066,1
5003,7067,1
5003,7073,3
5004,5002,32
5004,5003,44
5004,5004,33
5004,5005,24
5004,5006,22
5004,5007,221
5004,6004,1
5004,6008,1
5004,6009,1
5004,6012,1
5004,6015,1
5004,6017,1
5004,6023,2
5004,6047,1
5004,6075,1
5004,6100,1
5004,6113,2
5004,6114,7
5004,6117,2
5004,6118,1
5004,6132,1
5004,6152,2
5004,6171,1
5004,6202,1
5004,6222,1
5004,6225,1
5004,6314,1
5004,6359,3
5004,6395,2
5004,6501,5
5004,6502,1
5004,6504,1
5004,6701,1
5004,6705,1
5004,7020,2
5004,7068,1
5005,5002,15
5005,5003,20
5005,5004,27
5005,5005,47
5005,5006,67
5005,5007,225
5005,6004,1
5005,6015,2
5005,6026,1
5005,6043,1
5005,6104,16
5005,6105,1
5005,6106,1
5005,6109,1
5005,6112,4
5005,6113,2
5005,6114,8
5005,6116,1
5005,6117,3
5005,6118,4
5005,6119,2
5005,6123,4
5005,6124,3
5005,6133,1
5005,6134,1
5005,6136,1
5005,6139,2
5005,6148,1
5005,6150,1
5005,6154,1
5005,6158,2
5005,6165,1
5005,6177,1
5005,6181,1
5005,6211,4
5005,6222,1
5005,6254,1
5005,6267,1
5005,6341,1
5005,6359,1
5005,6361,1
5005,6370,1
5005,6393,1
5005,6394,1
5005,6398,5
5005,6501,8
5005,6502,2
5005,6504,3
5005,6905,1
5005,6908,1
5005,6910,1
5005,7034,1
5006,5002,16
5006,5003,41
5006,5004,34
5006,5005,54
5006,5006,86
5006,5007,275
5006,6008,1
5006,6012,2
5006,6015,7
5006,6018,3
5006,6020,1
5006,6026,2
5006,6043,1
5006,6050,2
5006,6068,35
5006,6078,1
5006,6083,1
5006,6105,2
5006,6106,1
5006,6111,1
5006,6112,1
5006,6113,1
5006,6114,12
5006,6116,46
5006,6118,10
5006,6119,3
5006,6120,8
5006,6123,12
5006,6133,8
5006,6140,5
5006,6143,3
5006,6145,1
5006,6148,1
5006,6151,2
5006,6159,1
5006,6169,1
5006,6177,2
5006,6179,1
5006,6184,4
5006,6187,3
5006,6216,4
5006,6225,1
5006,6248,1
5006,6249,1
5006,6349,1
5006,6376,2
5006,6393,1
5006,6406,2
5006,6436,6
5006,6501,50
5006,6502,2
5006,6504,2
5006,6727,1
5006,6729,2
5006,6734,1
5006,7019,1
5006,7038,1
5006,7062,2
5006,7068,1
5006,7069,1
5006,7073,2
5006,7080,6
5007,5002,182
5007,5003,89
5007,5004,199
5007,5005,312
5007,5006,334
5007,5007,134
5007,6003,2
5007,6006,1
5007,6007,1
5007,6008,3
5007,6009,7
5007,6011,3
5007,6012,9
5007,6014,5
5007,6015,31
5007,6016,6
5007,6017,2
5007,6018,3
5007,6019,1
5007,6020,6
